YEAR T1,TEAM T1,SEED T1,KADJ O T1,KADJ D T1,KADJ EM T1,BARTHAG T1,WIN% T1,EXP T1,TALENT T1,ELITE SOS T1,KADJ T T1,BADJ T T1,TOV% T1,TOV%D T1,OREB% T1,DREB% T1,3PTR T1,3PT% T1,YEAR T2,TEAM T2,SEED T2,KADJ O T2,KADJ D T2,KADJ EM T2,BARTHAG T2,WIN% T2,EXP T2,TALENT T2,ELITE SOS T2,KADJ T T2,BADJ T T2,TOV% T2,TOV%D T2,OREB% T2,DREB% T2,3PTR T2,3PT% T2,WINNER
2025,Connecticut,8,121.965,102.633,19.3318,0.883,69.69697,1.638,87.492,30.085,63.7849,63.782,17.1,15.5,35.6,72.6,42.6,35.4,2025,Oklahoma,9,119.062,100.717,18.345,0.855,60.60606,2.256,48.517,39.435,68.6051,68.427,17.3,18.1,26.5,68.3,41.9,37.0,0
2025,Oklahoma,9,119.062,100.717,18.345,0.855,60.60606,2.256,48.517,39.435,68.6051,68.427,17.3,18.1,26.5,68.3,41.9,37.0,2025,Connecticut,8,121.965,102.633,19.3318,0.883,69.69697,1.638,87.492,30.085,63.7849,63.782,17.1,15.5,35.6,72.6,42.6,35.4,1
2025,Memphis,5,113.302,98.1617,15.1407,0.806,85.29412,2.425,53.401,23.012,70.8385,70.654,19.2,19.1,35.1,67.7,33.1,38.0,2025,Colorado St.,12,116.276,98.977,17.2994,0.876,73.52941,2.033,33.82,22.886,66.0287,66.012,17.4,16.7,26.4,74.7,42.8,36.6,1
2025,Colorado St.,12,116.276,98.977,17.2994,0.876,73.52941,2.033,33.82,22.886,66.0287,66.012,17.4,16.7,26.4,74.7,42.8,36.6,2025,Memphis,5,113.302,98.1617,15.1407,0.806,85.29412,2.425,53.401,23.012,70.8385,70.654,19.2,19.1,35.1,67.7,33.1,38.0,0
2025,Maryland,4,118.089,91.7546,26.3341,0.945,75.75758,1.64,66.049,31.337,69.8717,69.841,14.5,20.2,31.0,72.8,35.5,37.2,2025,Grand Canyon,13,107.859,100.641,7.21812,0.732,78.125,2.47,26.711,10.398,71.5151,71.467,18.4,20.6,32.5,71.4,33.6,31.6,0
2025,Grand Canyon,13,107.859,100.641,7.21812,0.732,78.125,2.47,26.711,10.398,71.5151,71.467,18.4,20.6,32.5,71.4,33.6,31.6,2025,Maryland,4,118.089,91.7546,26.3341,0.945,75.75758,1.64,66.049,31.337,69.8717,69.841,14.5,20.2,31.0,72.8,35.5,37.2,1
2025,Missouri,6,125.359,100.97,24.3888,0.934,66.66667,2.197,66.184,36.393,68.279,68.112,15.2,20.0,33.7,67.8,41.5,37.0,2025,Drake,11,112.641,98.498,14.1426,0.823,90.32258,2.226,0.2,12.625,58.8833,58.599,18.6,22.1,36.0,74.2,36.8,35.0,1
2025,Drake,11,112.641,98.498,14.1426,0.823,90.32258,2.226,0.2,12.625,58.8833,58.599,18.6,22.1,36.0,74.2,36.8,35.0,2025,Missouri,6,125.359,100.97,24.3888,0.934,66.66667,2.197,66.184,36.393,68.279,68.112,15.2,20.0,33.7,67.8,41.5,37.0,0
2025,Texas Tech,3,125.335,97.2799,28.0555,0.955,75.75758,1.972,36.947,35.224,65.4879,65.554,14.8,17.4,34.3,71.5,44.6,37.9,2025,UNC Wilmington,14,112.326,107.183,5.14288,0.639,78.125,2.555,0.2,8.683,65.3908,65.132,16.0,17.4,35.4,71.9,36.2,33.0,0
2025,UNC Wilmington,14,112.326,107.183,5.14288,0.639,78.125,2.555,0.2,8.683,65.3908,65.132,16.0,17.4,35.4,71.9,36.2,33.0,2025,Texas Tech,3,125.335,97.2799,28.0555,0.955,75.75758,1.972,36.947,35.224,65.4879,65.554,14.8,17.4,34.3,71.5,44.6,37.9,1
